"","Study","Ref_index","Location","Country","Outbreak","Region","Years","Year.Mid","Decade","Age.group","Age.min","Age.max","Mean.Age","Antitoxin","Cases","Carriers","Deaths","CFR","CFR.Confid","Percent.of.Cases","Author"
"146","Ammundsen 1947","720","Coppenhagen","Denmark","Outbreak","EUR","1943-1944",1943,1940,"1-4y",1,4,3,"YES",53,NA,6,0.11,"0.028-0.199",NA,NA
"147","Ammundsen 1947","720","Coppenhagen","Denmark","Outbreak","EUR","1943-1944",1943,1940,"5-14y",5,14,10,"YES",62,NA,7,0.11,"0.034-0.192",NA,NA
"148","Ammundsen 1947","720","Coppenhagen","Denmark","Outbreak","EUR","1943-1944",1943,1940,"15-29y",15,29,22.5,"YES",116,NA,7,0.06,"0.017-0.104",NA,NA
"149","Ammundsen 1947","720","Coppenhagen","Denmark","Outbreak","EUR","1943-1944",1943,1940,"30+",30,80,55.5,"YES",113,NA,12,0.11,"0.049-0.163",NA,NA
"150","Lycett & George 1953","75","Coseley, England","England",NA,"EUR","1951",1951,1950,"0-4y",0,4,2.5,NA,21,NA,0,0,"0-0",NA,"Lycett & George 1953"
"151","Lycett & George 1953","75","Coseley, England","England",NA,"EUR","1951",1951,1950,"5-14y",5,14,10,NA,71,NA,5,0.07,"0.011-0.13",NA,"Lycett & George 1953"
"152","Lycett & George 1953","75","Coseley, England","England",NA,"EUR","1951",1951,1950,"15+",15,80,48,NA,16,NA,1,0.06,"-0.056-0.181",NA,"Lycett & George 1953"
"153","Singh 1999","260","Delhi, India","India","Outbreak","SEAR","1997",1997,1990,"<1",0,0,0.5,"YES",20,NA,10,0.5,"0.281-0.719",NA,NA
"154","Singh 1999","260","Delhi, India","India","Outbreak","SEAR","1997",1997,1990,"1-4",1,4,3,"YES",73,NA,22,0.3,"0.196-0.407",NA,NA
"155","Singh 1999","260","Delhi, India","India","Outbreak","SEAR","1997",1997,1990,"5-9",5,9,7.5,"YES",38,NA,13,0.34,"0.191-0.493",NA,NA
"156","Singh 1999","260","Delhi, India","India","Outbreak","SEAR","1997",1997,1990,"≥10",10,18,14.5,"YES",12,NA,0,0,"0-0",NA,NA
"157","Dibrugarh District, Assam","457","Dibrugarh District, Assam","India",NA,"SEAR","2008",2008,2000,"0-4",0,4,2.5,NA,4,NA,NA,NA,NA,6.7,NA
"158","Dibrugarh District, Assam","457","Dibrugarh District, Assam","India",NA,"SEAR","2008",2008,2000,"5-9",5,9,7.5,NA,7,NA,NA,NA,NA,11.7,NA
"159","Dibrugarh District, Assam","457","Dibrugarh District, Assam","India",NA,"SEAR","2008",2008,2000,"10-14",10,14,12.5,NA,12,NA,NA,NA,NA,20,NA
"160","Dibrugarh District, Assam","457","Dibrugarh District, Assam","India",NA,"SEAR","2008",2008,2000,"15-19",15,19,17.5,NA,8,NA,NA,NA,NA,13.3,NA
"161","Dibrugarh District, Assam","457","Dibrugarh District, Assam","India",NA,"SEAR","2008",2008,2000,"20-44",20,44,32.5,NA,24,NA,NA,NA,NA,40,NA
"162","Dibrugarh District, Assam","457","Dibrugarh District, Assam","India",NA,"SEAR","2008",2008,2000,"≥45",45,80,63,NA,5,NA,NA,NA,NA,8.3,NA
"163","Lys 1890","54","Dorsetshire, England","UK","Outbreak","EUR","1890",1890,1890,"0-10y",0,10,5.5,"NO",60,NA,NA,NA,NA,NA,NA
