"","Study","Ref_index","Location","Country","Outbreak","Region","Years","Year.Mid","Decade","Age.group","Age.min","Age.max","Mean.Age","Antitoxin","Cases","Carriers","Deaths","CFR","CFR.Confid","Percent.of.Cases","Author"
"483","Kantsone et al. 2000","494","Latvia","Latvia",NA,"NIS","1994-2014",2004,2000,"5–19",5,19,12.5,NA,396,NA,3,0.01,"-0.001-0.016",NA,"Kantsone et al. 2000"
"484","Kantsone et al. 2000","494","Latvia","Latvia",NA,"NIS","1994-2014",2004,2000,"20–29",20,29,25,NA,195,NA,1,0.01,"-0.005-0.015",NA,"Kantsone et al. 2000"
"485","Kantsone et al. 2000","494","Latvia","Latvia",NA,"NIS","1994-2014",2004,2000,"30–39",30,39,35,NA,192,NA,9,0.05,"0.017-0.077",NA,"Kantsone et al. 2000"
"486","Kantsone et al. 2000","494","Latvia","Latvia",NA,"NIS","1994-2014",2004,2000,"40–49",40,49,45,NA,286,NA,37,0.13,"0.09-0.168",NA,"Kantsone et al. 2000"
"487","Kantsone et al. 2000","494","Latvia","Latvia",NA,"NIS","1994-2014",2004,2000,"50–59",50,59,55,NA,218,NA,29,0.13,"0.088-0.178",NA,"Kantsone et al. 2000"
"488","Kantsone et al. 2000","494","Latvia","Latvia",NA,"NIS","1994-2014",2004,2000,"≥ 60",60,80,70.5,NA,144,NA,21,0.15,"0.088-0.203",NA,"Kantsone et al. 2000"
"489","Latvia","235","Latvia","Latvia",NA,"NIS","1990-1996",1993,1990,"2-3",2,3,3,NA,40,NA,7,NA,NA,5.3,"Griskevica et al. 2000"
"490","Latvia","235","Latvia","Latvia",NA,"NIS","1990-1996",1993,1990,"4-9",4,9,7,NA,77,NA,2,NA,NA,10.1,"Griskevica et al. 2000"
"491","Latvia","235","Latvia","Latvia",NA,"NIS","1990-1996",1993,1990,"10-16",10,16,13.5,NA,112,NA,0,NA,NA,14.8,"Griskevica et al. 2000"
"492","Latvia","235","Latvia","Latvia",NA,"NIS","1990-1996",1993,1990,"≥17",17,80,49,NA,530,NA,53,NA,NA,69.8,"Griskevica et al. 2000"
"493","Van Geldermalsen & Wenning 1991","11","Lesotho","Lesotho",NA,"AFR","1989",1989,1980,"0-4",0,4,2.5,NA,4,NA,2,NA,NA,NA,"Van Geldermalsen & Wenning 1991"
"494","Van Geldermalsen & Wenning 1991","11","Lesotho","Lesotho",NA,"AFR","1989",1989,1980,"5-9",5,9,7.5,NA,6,NA,2,NA,NA,NA,"Van Geldermalsen & Wenning 1991"
"495","Van Geldermalsen & Wenning 1991","11","Lesotho","Lesotho",NA,"AFR","1989",1989,1980,"10-14",10,14,12.5,NA,26,NA,6,NA,NA,NA,"Van Geldermalsen & Wenning 1991"
"496","Van Geldermalsen & Wenning 1991","11","Lesotho","Lesotho",NA,"AFR","1989",1989,1980,"15-19",15,19,17.5,NA,19,NA,4,NA,NA,NA,"Van Geldermalsen & Wenning 1991"
"497","Van Geldermalsen & Wenning 1991","11","Lesotho","Lesotho",NA,"AFR","1989",1989,1980,"20-24",20,24,22.5,NA,7,NA,2,NA,NA,NA,"Van Geldermalsen & Wenning 1991"
"498","Van Geldermalsen & Wenning 1991","11","Lesotho","Lesotho",NA,"AFR","1989",1989,1980,"25-29",25,29,27.5,NA,2,NA,0,NA,NA,NA,"Van Geldermalsen & Wenning 1991"
"499","Van Geldermalsen & Wenning 1991","11","Lesotho","Lesotho",NA,"AFR","1989",1989,1980,"30-34",30,34,32.5,NA,5,NA,0,NA,NA,NA,"Van Geldermalsen & Wenning 1991"
"500","Van Geldermalsen & Wenning 1991","11","Lesotho","Lesotho",NA,"AFR","1989",1989,1980,"≥35",35,80,58,NA,4,NA,0,NA,NA,NA,"Van Geldermalsen & Wenning 1991"
"501","MURPHY 1898",NA,"London County","UK",NA,"EUR","1892-1897",1894,1890,"0",0,0,0.5,NA,1701,NA,NA,NA,NA,NA,"MURPHY 1898"
"502","MURPHY 1898",NA,"London County","UK",NA,"EUR","1892-1897",1894,1890,"1",1,1,1.5,NA,4472,NA,NA,NA,NA,NA,"MURPHY 1898"
"503","MURPHY 1898",NA,"London County","UK",NA,"EUR","1892-1897",1894,1890,"2",2,2,2.5,NA,5709,NA,NA,NA,NA,NA,"MURPHY 1898"
"504","MURPHY 1898",NA,"London County","UK",NA,"EUR","1892-1897",1894,1890,"3",3,3,3.5,NA,7011,NA,NA,NA,NA,NA,"MURPHY 1898"
"505","MURPHY 1898",NA,"London County","UK",NA,"EUR","1892-1897",1894,1890,"4",4,4,4.5,NA,25717,NA,NA,NA,NA,NA,"MURPHY 1898"
"506","MURPHY 1898",NA,"London County","UK",NA,"EUR","1892-1897",1894,1890,"5-9",5,9,7.5,NA,20511,NA,NA,NA,NA,NA,"MURPHY 1898"
"507","MURPHY 1898",NA,"London County","UK",NA,"EUR","1892-1897",1894,1890,"10-14",10,14,12.5,NA,8126,NA,NA,NA,NA,NA,"MURPHY 1898"
"508","MURPHY 1898",NA,"London County","UK",NA,"EUR","1892-1897",1894,1890,"15-19",15,19,17.5,NA,4558,NA,NA,NA,NA,NA,"MURPHY 1898"
"509","MURPHY 1898",NA,"London County","UK",NA,"EUR","1892-1897",1894,1890,"≥20",20,80,50.5,NA,11269,NA,NA,NA,NA,NA,"MURPHY 1898"
"510","Naiditch & Bower 1954","N/A","Los Angeles","United States",NA,"AMR","1940-1950",1945,1940,"0-1",0,0,0.5,NA,19,NA,3,0.16,"-0.006-0.322",NA,"Naiditch & Bower 1954"
"511","Naiditch & Bower 1954","N/A","Los Angeles","United States",NA,"AMR","1940-1950",1945,1940,"1-5",1,4,3,NA,410,NA,46,0.11,"0.082-0.143",NA,"Naiditch & Bower 1954"
"512","Naiditch & Bower 1954","N/A","Los Angeles","United States",NA,"AMR","1940-1950",1945,1940,"5-10",5,9,7.5,NA,398,NA,42,0.11,"0.075-0.136",NA,"Naiditch & Bower 1954"
"513","Naiditch & Bower 1954","N/A","Los Angeles","United States",NA,"AMR","1940-1950",1945,1940,"10-20",10,19,15,NA,207,NA,7,0.03,"0.009-0.058",NA,"Naiditch & Bower 1954"
"514","Naiditch & Bower 1954","N/A","Los Angeles","United States",NA,"AMR","1940-1950",1945,1940,"20-30",20,29,25,NA,173,NA,2,0.01,"-0.004-0.027",NA,"Naiditch & Bower 1954"
"515","Naiditch & Bower 1954","N/A","Los Angeles","United States",NA,"AMR","1940-1950",1945,1940,"30-40",30,39,35,NA,104,NA,12,0.12,"0.054-0.177",NA,"Naiditch & Bower 1954"
"516","Naiditch & Bower 1954","N/A","Los Angeles","United States",NA,"AMR","1940-1950",1945,1940,"40-50",40,49,45,NA,68,NA,15,0.22,"0.122-0.319",NA,"Naiditch & Bower 1954"
"517","Naiditch & Bower 1954","N/A","Los Angeles","United States",NA,"AMR","1940-1950",1945,1940,"≥50",50,80,65.5,NA,54,NA,10,0.19,"0.082-0.289",NA,"Naiditch & Bower 1954"
"518","Macon, GA","68","Macon, GA","USA",NA,"AMR","1959",1959,1950,"0-4",0,4,2.5,NA,7,NA,NA,NA,NA,NA,NA
"519","Macon, GA","68","Macon, GA","USA",NA,"AMR","1959",1959,1950,"5-9",5,9,7.5,NA,9,NA,NA,NA,NA,NA,NA
"520","Macon, GA","68","Macon, GA","USA",NA,"AMR","1959",1959,1950,"10-14",10,14,12.5,NA,1,NA,NA,NA,NA,NA,NA
"521","Macon, GA","68","Macon, GA","USA",NA,"AMR","1959",1959,1950,"15-19",15,19,17.5,NA,1,NA,NA,NA,NA,NA,NA
"522","Phalkey et al. 2013",NA,"Maharashtra","India",NA,"SEAR","2011",2011,2010,"0 – 5",0,5,3,NA,2,NA,NA,NA,NA,NA,"Phalkey et al. 2013"
"523","Phalkey et al. 2013",NA,"Maharashtra","India",NA,"SEAR","2011",2011,2010,"6 – 10",6,10,8.5,NA,2,NA,NA,NA,NA,NA,"Phalkey et al. 2013"
"524","Phalkey et al. 2013",NA,"Maharashtra","India",NA,"SEAR","2011",2011,2010,"10 – 15",10,15,13,NA,7,NA,NA,NA,NA,NA,"Phalkey et al. 2013"
"525","Phalkey et al. 2013",NA,"Maharashtra","India",NA,"SEAR","2011",2011,2010,"15 – 45",15,45,30.5,NA,0,NA,NA,NA,NA,NA,"Phalkey et al. 2013"
"526","Phalkey et al. 2013",NA,"Maharashtra","India",NA,"SEAR","2011",2011,2010,"≥45",45,80,63,NA,0,NA,NA,NA,NA,NA,"Phalkey et al. 2013"
"527","Santos et al. 2015","271","Maranhão, Brazil","Brazil",NA,"AMR","2010",2010,2010,"0-7y",0,6,4,NA,13,NA,2,0.15,"-0.042-0.35",NA,"Santos et al. 2015"
"528","Santos et al. 2015","271","Maranhão, Brazil","Brazil",NA,"AMR","2010",2010,2010,"7-20",7,19,14,NA,11,NA,1,0.09,"-0.079-0.261",NA,"Santos et al. 2015"
"529","Santos et al. 2015","271","Maranhão, Brazil","Brazil",NA,"AMR","2010",2010,2010,"20+",20,80,51,NA,1,NA,0,0,"0-0",NA,"Santos et al. 2015"
"530","Collins 1929",NA,"Maryland","USA",NA,"AMR","1908-1917",1912,1910,"<1",0,0,0.5,NA,170,NA,NA,NA,NA,1.7,"Vyse et al. 1953"
"531","Collins 1929",NA,"Maryland","USA",NA,"AMR","1908-1917",1912,1910,"1",1,1,1.5,NA,610,NA,NA,NA,NA,6.1,"Collins 1929"
"532","Collins 1929",NA,"Maryland","USA",NA,"AMR","1908-1917",1912,1910,"2",2,2,2.5,NA,786,NA,NA,NA,NA,7.9,"Collins 1929"
"533","Collins 1929",NA,"Maryland","USA",NA,"AMR","1908-1917",1912,1910,"3",3,3,3.5,NA,941,NA,NA,NA,NA,9.4,"Collins 1929"
"534","Collins 1929",NA,"Maryland","USA",NA,"AMR","1908-1917",1912,1910,"4",4,4,4.5,NA,869,NA,NA,NA,NA,8.7,"Collins 1929"
"535","Collins 1929",NA,"Maryland","USA",NA,"AMR","1908-1917",1912,1910,"5",5,5,5.5,NA,778,NA,NA,NA,NA,7.8,"Collins 1929"
"536","Collins 1929",NA,"Maryland","USA",NA,"AMR","1908-1917",1912,1910,"6",6,6,6.5,NA,789,NA,NA,NA,NA,7.9,"Collins 1929"
"537","Collins 1929",NA,"Maryland","USA",NA,"AMR","1908-1917",1912,1910,"7",7,7,7.5,NA,657,NA,NA,NA,NA,6.6,"Collins 1929"
"538","Collins 1929",NA,"Maryland","USA",NA,"AMR","1908-1917",1912,1910,"8",8,8,8.5,NA,614,NA,NA,NA,NA,6.1,"Collins 1929"
"539","Collins 1929",NA,"Maryland","USA",NA,"AMR","1908-1917",1912,1910,"9",9,9,9.5,NA,409,NA,NA,NA,NA,4.1,"Collins 1929"
"540","Collins 1929",NA,"Maryland","USA",NA,"AMR","1908-1917",1912,1910,"10",10,10,10.5,NA,373,NA,NA,NA,NA,3.7,"Collins 1929"
"541","Collins 1929",NA,"Maryland","USA",NA,"AMR","1908-1917",1912,1910,"11",11,11,11.5,NA,282,NA,NA,NA,NA,2.8,"Collins 1929"
"542","Collins 1929",NA,"Maryland","USA",NA,"AMR","1908-1917",1912,1910,"12",12,12,12.5,NA,288,NA,NA,NA,NA,2.9,"Collins 1929"
"543","Collins 1929",NA,"Maryland","USA",NA,"AMR","1908-1917",1912,1910,"13",13,13,13.5,NA,202,NA,NA,NA,NA,2,"Collins 1929"
"544","Collins 1929",NA,"Maryland","USA",NA,"AMR","1908-1917",1912,1910,"14",14,14,14.5,NA,197,NA,NA,NA,NA,2,"Collins 1929"
"545","Collins 1929",NA,"Maryland","USA",NA,"AMR","1908-1917",1912,1910,"15",15,15,15.5,NA,141,NA,NA,NA,NA,1.4,"Collins 1929"
"546","Collins 1929",NA,"Maryland","USA",NA,"AMR","1908-1917",1912,1910,"16",16,16,16.5,NA,170,NA,NA,NA,NA,1.7,"Collins 1929"
"547","Collins 1929",NA,"Maryland","USA",NA,"AMR","1908-1917",1912,1910,"17",17,17,17.5,NA,116,NA,NA,NA,NA,1.2,"Collins 1929"
"548","Collins 1929",NA,"Maryland","USA",NA,"AMR","1908-1917",1912,1910,"18",18,18,18.5,NA,124,NA,NA,NA,NA,1.2,"Collins 1929"
"549","Collins 1929",NA,"Maryland","USA",NA,"AMR","1908-1917",1912,1910,"19",19,19,19.5,NA,99,NA,NA,NA,NA,1,"Collins 1929"
"550","Collins 1929",NA,"Maryland","USA",NA,"AMR","1908-1917",1912,1910,"20-25",20,24,22.5,NA,449,NA,NA,NA,NA,4.5,"Collins 1929"
"551","Collins 1929",NA,"Maryland","USA",NA,"AMR","1908-1917",1912,1910,"25-30",25,29,27.5,NA,379,NA,NA,NA,NA,3.8,"Collins 1929"
"552","Collins 1929",NA,"Maryland","USA",NA,"AMR","1908-1917",1912,1910,"30-40",30,39,35,NA,355,NA,NA,NA,NA,3.6,"Collins 1929"
"553","Collins 1929",NA,"Maryland","USA",NA,"AMR","1908-1917",1912,1910,"40-50",40,49,45,NA,138,NA,NA,NA,NA,1.4,"Collins 1929"
"554","Collins 1929",NA,"Maryland","USA",NA,"AMR","1908-1917",1912,1910,"50-60",50,59,55,NA,47,NA,NA,NA,NA,0.5,"Collins 1929"
"555","Collins 1929",NA,"Maryland","USA",NA,"AMR","1908-1917",1912,1910,"60+",60,80,70.5,NA,17,NA,NA,NA,NA,0.2,"Collins 1929"
"556","TURNBULL 1949","223","Matatiele, South Africa","South Africa","Outbreak","AFR","1948",1948,1940,"0-1",0,0,0.5,"YES",1,NA,NA,NA,NA,NA,NA
"557","TURNBULL 1949","223","Matatiele, South Africa","South Africa","Outbreak","AFR","1948",1948,1940,"1-5",1,4,3,"YES",31,NA,NA,NA,NA,NA,NA
"558","TURNBULL 1949","223","Matatiele, South Africa","South Africa","Outbreak","AFR","1948",1948,1940,"5-10",5,9,7.5,"YES",48,NA,NA,NA,NA,NA,NA
"559","TURNBULL 1949","223","Matatiele, South Africa","South Africa","Outbreak","AFR","1948",1948,1940,"10-15",10,14,12.5,"YES",38,NA,NA,NA,NA,NA,NA
"560","TURNBULL 1949","223","Matatiele, South Africa","South Africa","Outbreak","AFR","1948",1948,1940,"15-20",15,19,17.5,"YES",10,NA,NA,NA,NA,NA,NA
"561","TURNBULL 1949","223","Matatiele, South Africa","South Africa","Outbreak","AFR","1948",1948,1940,"20-30",20,29,25,"YES",7,NA,NA,NA,NA,NA,NA
"562","TURNBULL 1949","223","Matatiele, South Africa","South Africa","Outbreak","AFR","1948",1948,1940,"≥30",30,80,55.5,"YES",5,NA,NA,NA,NA,NA,NA
"563","Medford, OR","71","Medford, OR","USA",NA,"AMR","1949",1949,1940,"1-5y",1,5,3.5,NA,2,NA,0,0,"0-0",NA,"EMRkel"
"564","Medford, OR","71","Medford, OR","USA",NA,"AMR","1949",1949,1940,"6-12y",6,12,9.5,NA,10,NA,3,0.3,"0.016-0.584",NA,"EMRkel"
"565","Medford, OR","71","Medford, OR","USA",NA,"AMR","1949",1949,1940,"13-14",13,14,14,NA,5,NA,1,0.2,"-0.151-0.551",NA,"EMRkel"
"566","Medford, OR","71","Medford, OR","USA",NA,"AMR","1949",1949,1940,"15-25",15,25,20.5,NA,0,NA,0,0,"0",NA,"EMRkel"
"567","Medford, OR","71","Medford, OR","USA",NA,"AMR","1949",1949,1940,"26-35",26,35,31,NA,3,NA,0,0,"0-0",NA,"EMRkel"
"568","Medford, OR","71","Medford, OR","USA",NA,"AMR","1949",1949,1940,"36+",36,80,58.5,NA,2,NA,1,0.5,"-0.193-1.193",NA,"EMRkel"
"569","Magdei 2000","354","Moldova","Moldova",NA,"NIS","1994-1996",1995,1990,"0-1",0,0,0.5,NA,5,NA,NA,NA,NA,0.6,NA
"570","Magdei 2000","354","Moldova","Moldova",NA,"NIS","1994-1996",1995,1990,"1-4",1,4,3,NA,71,NA,NA,NA,NA,8.2,NA
"571","Magdei 2000","354","Moldova","Moldova",NA,"NIS","1994-1996",1995,1990,"5-14",5,14,10,NA,394,NA,NA,NA,NA,45.5,NA
"572","Magdei 2000","354","Moldova","Moldova",NA,"NIS","1994-1996",1995,1990,"15-19",15,19,17.5,NA,101,NA,NA,NA,NA,11.7,NA
"573","Magdei 2000","354","Moldova","Moldova",NA,"NIS","1994-1996",1995,1990,"20-29",20,29,25,NA,100,NA,NA,NA,NA,11.6,NA
"574","Magdei 2000","354","Moldova","Moldova",NA,"NIS","1994-1996",1995,1990,"30-39",30,39,35,NA,99,NA,NA,NA,NA,11.4,NA
"575","Magdei 2000","354","Moldova","Moldova",NA,"NIS","1994-1996",1995,1990,"40-49",40,49,45,NA,80,NA,NA,NA,NA,9.2,NA
"576","Magdei 2000","354","Moldova","Moldova",NA,"NIS","1994-1996",1995,1990,"50-59",50,59,55,NA,12,NA,NA,NA,NA,1.4,NA
"577","Magdei 2000","354","Moldova","Moldova",NA,"NIS","1994-1996",1995,1990,"≥60",60,80,70.5,NA,3,NA,NA,NA,NA,0.3,NA
"578","Moscow","380","Moscow","Russia",NA,"NIS","1980",1980,1980,"0-2",0,2,1.5,NA,0,NA,NA,NA,NA,NA,NA
"579","Moscow","380","Moscow","Russia",NA,"NIS","1980",1980,1980,"3-9",3,9,6.5,NA,0,NA,NA,NA,NA,NA,NA
"580","Moscow","380","Moscow","Russia",NA,"NIS","1980",1980,1980,"10-14",10,14,12.5,NA,0,NA,NA,NA,NA,NA,NA
"581","Moscow","380","Moscow","Russia",NA,"NIS","1980",1980,1980,"15-19",15,19,17.5,NA,6,NA,NA,NA,NA,NA,NA
"582","Moscow","380","Moscow","Russia",NA,"NIS","1980",1980,1980,"20-29",20,29,25,NA,11,NA,NA,NA,NA,NA,NA
"583","Moscow","380","Moscow","Russia",NA,"NIS","1980",1980,1980,"30-39",30,39,35,NA,18,NA,NA,NA,NA,NA,NA
"584","Moscow","380","Moscow","Russia",NA,"NIS","1980",1980,1980,"40-49",40,49,45,NA,11,NA,NA,NA,NA,NA,NA
"585","Moscow","380","Moscow","Russia",NA,"NIS","1980",1980,1980,"≤50",50,80,65.5,NA,7,NA,NA,NA,NA,NA,NA
"586","Moscow","380","Moscow","Russia",NA,"NIS","1981",1981,1980,"0-2",0,2,1.5,NA,0,NA,NA,NA,NA,NA,NA
"587","Moscow","380","Moscow","Russia",NA,"NIS","1981",1981,1980,"3-9",3,9,6.5,NA,8,NA,NA,NA,NA,NA,NA
"588","Moscow","380","Moscow","Russia",NA,"NIS","1981",1981,1980,"10-14",10,14,12.5,NA,3,NA,NA,NA,NA,NA,NA
"589","Moscow","380","Moscow","Russia",NA,"NIS","1981",1981,1980,"15-19",15,19,17.5,NA,9,NA,NA,NA,NA,NA,NA
"590","Moscow","380","Moscow","Russia",NA,"NIS","1981",1981,1980,"20-29",20,29,25,NA,39,NA,NA,NA,NA,NA,NA
"591","Moscow","380","Moscow","Russia",NA,"NIS","1981",1981,1980,"30-39",30,39,35,NA,40,NA,NA,NA,NA,NA,NA
"592","Moscow","380","Moscow","Russia",NA,"NIS","1981",1981,1980,"40-49",40,49,45,NA,14,NA,NA,NA,NA,NA,NA
"593","Moscow","380","Moscow","Russia",NA,"NIS","1981",1981,1980,"≤50",50,80,65.5,NA,8,NA,NA,NA,NA,NA,NA
"594","Moscow","380","Moscow","Russia",NA,"NIS","1982",1982,1980,"0-2",0,2,1.5,NA,0,NA,NA,NA,NA,NA,NA
"595","Moscow","380","Moscow","Russia",NA,"NIS","1982",1982,1980,"3-9",3,9,6.5,NA,0,NA,NA,NA,NA,NA,NA
"596","Moscow","380","Moscow","Russia",NA,"NIS","1982",1982,1980,"10-14",10,14,12.5,NA,0,NA,NA,NA,NA,NA,NA
"597","Moscow","380","Moscow","Russia",NA,"NIS","1982",1982,1980,"15-19",15,19,17.5,NA,5,NA,NA,NA,NA,NA,NA
"598","Moscow","380","Moscow","Russia",NA,"NIS","1982",1982,1980,"20-29",20,29,25,NA,33,NA,NA,NA,NA,NA,NA
"599","Moscow","380","Moscow","Russia",NA,"NIS","1982",1982,1980,"30-39",30,39,35,NA,23,NA,NA,NA,NA,NA,NA
"600","Moscow","380","Moscow","Russia",NA,"NIS","1982",1982,1980,"40-49",40,49,45,NA,10,NA,NA,NA,NA,NA,NA
"601","Moscow","380","Moscow","Russia",NA,"NIS","1982",1982,1980,"≤50",50,80,65.5,NA,7,NA,NA,NA,NA,NA,NA
"602","Moscow","380","Moscow","Russia",NA,"NIS","1983",1983,1980,"0-2",0,2,1.5,NA,0,NA,NA,NA,NA,NA,NA
"603","Moscow","380","Moscow","Russia",NA,"NIS","1983",1983,1980,"3-9",3,9,6.5,NA,3,NA,NA,NA,NA,NA,NA
"604","Moscow","380","Moscow","Russia",NA,"NIS","1983",1983,1980,"10-14",10,14,12.5,NA,8,NA,NA,NA,NA,NA,NA
"605","Moscow","380","Moscow","Russia",NA,"NIS","1983",1983,1980,"15-19",15,19,17.5,NA,3,NA,NA,NA,NA,NA,NA
"606","Moscow","380","Moscow","Russia",NA,"NIS","1983",1983,1980,"20-29",20,29,25,NA,21,NA,NA,NA,NA,NA,NA
"607","Moscow","380","Moscow","Russia",NA,"NIS","1983",1983,1980,"30-39",30,39,35,NA,18,NA,NA,NA,NA,NA,NA
"608","Moscow","380","Moscow","Russia",NA,"NIS","1983",1983,1980,"40-49",40,49,45,NA,8,NA,NA,NA,NA,NA,NA
"609","Moscow","380","Moscow","Russia",NA,"NIS","1983",1983,1980,"≤50",50,80,65.5,NA,4,NA,NA,NA,NA,NA,NA
"610","Moscow","380","Moscow","Russia",NA,"NIS","1984",1984,1980,"0-2",0,2,1.5,NA,3,NA,NA,NA,NA,NA,NA
"611","Moscow","380","Moscow","Russia",NA,"NIS","1984",1984,1980,"3-9",3,9,6.5,NA,4,NA,NA,NA,NA,NA,NA
"612","Moscow","380","Moscow","Russia",NA,"NIS","1984",1984,1980,"10-14",10,14,12.5,NA,2,NA,NA,NA,NA,NA,NA
"613","Moscow","380","Moscow","Russia",NA,"NIS","1984",1984,1980,"15-19",15,19,17.5,NA,11,NA,NA,NA,NA,NA,NA
"614","Moscow","380","Moscow","Russia",NA,"NIS","1984",1984,1980,"20-29",20,29,25,NA,23,NA,NA,NA,NA,NA,NA
"615","Moscow","380","Moscow","Russia",NA,"NIS","1984",1984,1980,"30-39",30,39,35,NA,18,NA,NA,NA,NA,NA,NA
"616","Moscow","380","Moscow","Russia",NA,"NIS","1984",1984,1980,"40-49",40,49,45,NA,13,NA,NA,NA,NA,NA,NA
"617","Moscow","380","Moscow","Russia",NA,"NIS","1984",1984,1980,"≤50",50,80,65.5,NA,8,NA,NA,NA,NA,NA,NA
"618","Moscow","380","Moscow","Russia",NA,"NIS","1985",1985,1980,"0-2",0,2,1.5,NA,1,NA,NA,NA,NA,NA,NA
"619","Moscow","380","Moscow","Russia",NA,"NIS","1985",1985,1980,"3-9",3,9,6.5,NA,14,NA,NA,NA,NA,NA,NA
"620","Moscow","380","Moscow","Russia",NA,"NIS","1985",1985,1980,"10-14",10,14,12.5,NA,4,NA,NA,NA,NA,NA,NA
"621","Moscow","380","Moscow","Russia",NA,"NIS","1985",1985,1980,"15-19",15,19,17.5,NA,16,NA,NA,NA,NA,NA,NA
"622","Moscow","380","Moscow","Russia",NA,"NIS","1985",1985,1980,"20-29",20,29,25,NA,26,NA,NA,NA,NA,NA,NA
"623","Moscow","380","Moscow","Russia",NA,"NIS","1985",1985,1980,"30-39",30,39,35,NA,24,NA,NA,NA,NA,NA,NA
"624","Moscow","380","Moscow","Russia",NA,"NIS","1985",1985,1980,"40-49",40,49,45,NA,13,NA,NA,NA,NA,NA,NA
"625","Moscow","380","Moscow","Russia",NA,"NIS","1985",1985,1980,"≤50",50,80,65.5,NA,8,NA,NA,NA,NA,NA,NA
"626","Moscow","380","Moscow","Russia",NA,"NIS","1986",1986,1980,"0-2",0,2,1.5,NA,0,NA,NA,NA,NA,NA,NA
"627","Moscow","380","Moscow","Russia",NA,"NIS","1986",1986,1980,"3-9",3,9,6.5,NA,0,NA,NA,NA,NA,NA,NA
"628","Moscow","380","Moscow","Russia",NA,"NIS","1986",1986,1980,"10-14",10,14,12.5,NA,0,NA,NA,NA,NA,NA,NA
"629","Moscow","380","Moscow","Russia",NA,"NIS","1986",1986,1980,"15-19",15,19,17.5,NA,5,NA,NA,NA,NA,NA,NA
"630","Moscow","380","Moscow","Russia",NA,"NIS","1986",1986,1980,"20-29",20,29,25,NA,21,NA,NA,NA,NA,NA,NA
"631","Moscow","380","Moscow","Russia",NA,"NIS","1986",1986,1980,"30-39",30,39,35,NA,19,NA,NA,NA,NA,NA,NA
"632","Moscow","380","Moscow","Russia",NA,"NIS","1986",1986,1980,"40-49",40,49,45,NA,6,NA,NA,NA,NA,NA,NA
"633","Moscow","380","Moscow","Russia",NA,"NIS","1986",1986,1980,"≤50",50,80,65.5,NA,4,NA,NA,NA,NA,NA,NA
"634","Moscow","380","Moscow","Russia",NA,"NIS","1987",1987,1980,"0-2",0,2,1.5,NA,1,NA,NA,NA,NA,NA,NA
"635","Moscow","380","Moscow","Russia",NA,"NIS","1987",1987,1980,"3-9",3,9,6.5,NA,10,NA,NA,NA,NA,NA,NA
"636","Moscow","380","Moscow","Russia",NA,"NIS","1987",1987,1980,"10-14",10,14,12.5,NA,2,NA,NA,NA,NA,NA,NA
"637","Moscow","380","Moscow","Russia",NA,"NIS","1987",1987,1980,"15-19",15,19,17.5,NA,12,NA,NA,NA,NA,NA,NA
"638","Moscow","380","Moscow","Russia",NA,"NIS","1987",1987,1980,"20-29",20,29,25,NA,22,NA,NA,NA,NA,NA,NA
"639","Moscow","380","Moscow","Russia",NA,"NIS","1987",1987,1980,"30-39",30,39,35,NA,17,NA,NA,NA,NA,NA,NA
"640","Moscow","380","Moscow","Russia",NA,"NIS","1987",1987,1980,"40-49",40,49,45,NA,8,NA,NA,NA,NA,NA,NA
"641","Moscow","380","Moscow","Russia",NA,"NIS","1987",1987,1980,"≤50",50,80,65.5,NA,6,NA,NA,NA,NA,NA,NA
"642","Moscow","380","Moscow","Russia",NA,"NIS","1988",1988,1980,"0-2",0,2,1.5,NA,4,NA,NA,NA,NA,NA,NA
"643","Moscow","380","Moscow","Russia",NA,"NIS","1988",1988,1980,"3-9",3,9,6.5,NA,3,NA,NA,NA,NA,NA,NA
"644","Moscow","380","Moscow","Russia",NA,"NIS","1988",1988,1980,"10-14",10,14,12.5,NA,6,NA,NA,NA,NA,NA,NA
"645","Moscow","380","Moscow","Russia",NA,"NIS","1988",1988,1980,"15-19",15,19,17.5,NA,8,NA,NA,NA,NA,NA,NA
"646","Moscow","380","Moscow","Russia",NA,"NIS","1988",1988,1980,"20-29",20,29,25,NA,11,NA,NA,NA,NA,NA,NA
"647","Moscow","380","Moscow","Russia",NA,"NIS","1988",1988,1980,"30-39",30,39,35,NA,5,NA,NA,NA,NA,NA,NA
"648","Moscow","380","Moscow","Russia",NA,"NIS","1988",1988,1980,"40-49",40,49,45,NA,5,NA,NA,NA,NA,NA,NA
"649","Moscow","380","Moscow","Russia",NA,"NIS","1988",1988,1980,"≤50",50,80,65.5,NA,4,NA,NA,NA,NA,NA,NA
"650","Moscow","380","Moscow","Russia",NA,"NIS","1989",1989,1980,"0-2",0,2,1.5,NA,3,NA,NA,NA,NA,NA,NA
"651","Moscow","380","Moscow","Russia",NA,"NIS","1989",1989,1980,"3-9",3,9,6.5,NA,19,NA,NA,NA,NA,NA,NA
"652","Moscow","380","Moscow","Russia",NA,"NIS","1989",1989,1980,"10-14",10,14,12.5,NA,12,NA,NA,NA,NA,NA,NA
"653","Moscow","380","Moscow","Russia",NA,"NIS","1989",1989,1980,"15-19",15,19,17.5,NA,10,NA,NA,NA,NA,NA,NA
"654","Moscow","380","Moscow","Russia",NA,"NIS","1989",1989,1980,"20-29",20,29,25,NA,20,NA,NA,NA,NA,NA,NA
