"Ref_index","Study","Location","Year.Mid","Age.min","Age.max","n.Suscept","n.Basic","n.Full","n.NotFull","N.age","N","prct.Full1","prct.Suscept","prct.Basic","prct.Full"
420,NA,"Russia",1995,8,8,21,5,1,26,27,NA,NA,0.777777777777778,0.185185185185185,0.037037037037037
420,NA,"Russia",1995,9,9,23,2,0,25,25,NA,NA,0.92,0.08,0
420,NA,"Russia",1995,10,10,30,3,0,33,33,NA,NA,0.909090909090909,0.0909090909090909,0
427,NA,"Canada",1996,20,29,51,118,109,169,278,NA,39.2,0.184,0.424,0.392
427,NA,"Canada",1996,30,39,36,129,214,165,379,NA,56.5,0.095,0.34,0.565
427,NA,"Canada",1996,40,49,69,144,174,213,387,NA,45,0.178,0.372,0.45
427,NA,"Canada",1996,50,59,99,124,148,223,371,NA,39.9,0.267,0.334,0.399
427,NA,"Canada",1996,60,80,74,70,60,144,204,NA,29.4,0.363,0.343,0.294
433,NA,"Italy",1988,3,5,11,37,131,48,179,NA,NA,0.0614525139664804,0.206703910614525,0.731843575418994
433,NA,"Italy",1988,6,7,7,58,409,65,474,NA,NA,0.0147679324894515,0.122362869198312,0.862869198312236
433,NA,"Italy",1988,10,11,15,35,249,50,299,NA,NA,0.0501672240802676,0.117056856187291,0.832775919732441
433,NA,"Italy",1988,14,15,20,62,214,82,296,NA,NA,0.0675675675675676,0.209459459459459,0.722972972972973
433,NA,"Italy",1988,18,19,56,108,328,164,492,NA,NA,0.113821138211382,0.219512195121951,0.666666666666667
382,NA,"Germany",1993,18,20,NA,NA,24,15,39,NA,61,NA,NA,0.61
382,NA,"Germany",1993,21,23,NA,NA,37,31,68,NA,54,NA,NA,0.54
382,NA,"Germany",1993,24,26,NA,NA,31,32,63,NA,49,NA,NA,0.49
382,NA,"Germany",1993,27,29,NA,NA,12,37,49,NA,24,NA,NA,0.24
382,NA,"Germany",1993,30,32,NA,NA,7,24,31,NA,23,NA,NA,0.23
382,NA,"Germany",1993,33,40,NA,NA,7,20,27,NA,26,NA,NA,0.26
382,NA,"Germany",1993,41,80,NA,NA,3,7,10,NA,30,NA,NA,0.3
547,"Ang 2015","Singapore",2010,18,79,263,1070,1959,1334,3293,NA,NA,0.0798663832371698,0.32493167324628,0.594898269055572
547,"Ang 2015","Singapore",2010,18,29,7,77,580,84,664,NA,NA,0.0105421686746988,0.115963855421687,0.873493975903614
547,"Ang 2015","Singapore",2010,30,39,36,180,468,216,684,NA,NA,0.0526315789473684,0.263157894736842,0.684210526315789
547,"Ang 2015","Singapore",2010,40,49,66,249,415,315,730,NA,NA,0.0904109589041096,0.341095890410959,0.568493150684932
547,"Ang 2015","Singapore",2010,50,59,98,316,269,415,684,NA,NA,0.14327485380117,0.461988304093567,0.39327485380117
547,"Ang 2015","Singapore",2010,60,69,42,164,134,207,341,NA,NA,0.12316715542522,0.480938416422287,0.392961876832845
547,"Ang 2015","Singapore",2010,70,79,14,87,91,101,192,NA,NA,0.0729166666666667,0.453125,0.473958333333333
